ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	8.43135e-08	1.45767e-06	2.83394
1	2.33261e-05	0.000272121	529.045
1	0.0118199	0.0642764	124963
1	0.00510204	0.0320312	62273.5
1	0.0502287	0.200471	389746
1	2.76996e-05	0.000318382	618.983
1	0.0382395	0.163049	316992
1	0.0498413	0.199311	387491
0.871651	0.600333	0.862177	1676200
1	2.45054e-06	3.41095e-05	66.3141
1	1.44913e-05	0.000175952	342.078
1	0.166667	0.465293	904601
1	0.55575	0.882218	1715170
1	0.00128999	0.00987245	19193.5
0.206851	0.0815217	0.0857078	166629
0.971508	1	0.99959	1943360
0.970446	1	0.999559	1943290
1	0.000916727	0.00732896	14248.6
1	0.0362521	0.15651	304279
1	0.0140965	0.0741733	144204
1	0.2125	0.541623	1053000
1	0.254971	0.603415	1173130
1	1	1	1944150
1	0.00325242	0.0218834	42544.7
1	0.00119832	0.00925921	18001.3
1	0.00430204	0.0277424	53935.5
1	0.0335932	0.147589	286936
1	0.00148349	0.011146	21669.4
1	0.0691209	0.253805	493435
1	0.0532077	0.209295	406902
1	0.004662	0.0296891	57720.1
1	0.185502	0.498015	968217
0.942538	0.551056	0.859644	1671280
1	0.00854882	0.049258	95764.9
1	0.00404411	0.0263292	51187.9
0.964781	0.578005	0.88333	1717330
1	0.00360848	0.0239043	46473.5
1	0.00183132	0.0133736	26000.3
1	0.00377649	0.0248454	48303.2
0.948196	0.00146368	0.01052	20452.4
0.956529	1	0.999041	1942290
1	1.48809e-06	2.14553e-05	41.7124
1	0.088699	0.303573	590192
1	0.48	0.832305	1618130
1	0.000397583	0.0035107	6825.34
1	1	1	1944150
1	0.505495	0.850352	1653210
0.951229	1	0.998791	1941800
1	0.00263798	0.0183017	35581.2
1	1.68192e-05	0.000201712	392.159
1	0.0142475	0.0748159	145453
1	0.0318738	0.14171	275506
1	0.00632732	0.0383618	74581.1
1	0.00061999	0.00519912	10107.9
1	0.0331194	0.145978	283804
0.77017	1	0.971295	1888350
1	0.00790049	0.0461454	89713.7
1	5.45702e-05	0.000590232	1147.5
0.997417	0.183831	0.494388	961166
1	0.0491774	0.197315	383611
0.959033	0.595374	0.89096	1732160
1	3.44463e-05	0.00038842	755.147
1	0.035141	0.152807	297079
1	0.0525137	0.207255	402935
1	0.00655095	0.0394901	76774.8
0.748228	0.0108853	0.0473239	92004.9
1	0.000617704	0.00518223	10075
1	0.0583647	0.224181	435843
