strain,ID,base.medium,carbon,carbon.tech,Condition,anc.value,OD.600,raw,molecule.size,proportion.F
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.059,1059,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.216,1216,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.167,1167,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.156,1156,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.142,1142,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.036,1036,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.294,1294,1,1
Banimlact,Anc,MP5,Monomer,F,anaerobic,0.44925,1.191,1191,1,1
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.22,1220,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.165,1165,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.255,1255,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.227,1227,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.075,1075,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.042,1042,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.215,1215,6,0.833333333
Banimlact,Anc,MP5,Low-DP,G-F5,anaerobic,0.845625,1.251,1251,6,0.833333333
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.378,378,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.419,419,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.454,454,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.415,415,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.534,534,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.429,429,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.326,326,25,0.96
Banimlact,Anc,MP5,High-DP,G-F24,anaerobic,0.265625,0.466,466,25,0.96
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.484,1503,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.465,1484,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.315,1334,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.326,1345,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.491,1510,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.351,1370,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.208,1227,2,0.5
Banimlact,Anc,MP5,,G-F,anaerobic,1.276375,1.407,1426,2,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.251,1263,1,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.292,1304,1,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.384,1396,1,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.291,1303,1,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.326,1338,1,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.401,1413,1,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.225,1237,1,0.5
Banimlact,Anc,MP5,,G:F 1:1,anaerobic,1.413,1.249,1261,1,0.5
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.219,1260,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.22,1261,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.124,1165,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.28,1321,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.213,1254,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.13,1171,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.131,1172,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:5,anaerobic,1.098,1.078,1119,1,0.833333333
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.113,1113,1,0.96
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.132,1132,1,0.96
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.222,1222,1,0.96
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.16,1160,1,0.96
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.095,1095,1,0.96
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.029,1029,1,0.96
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.113,1113,1,0.96
Banimlact,Anc,MP5,,G:F 1:24,anaerobic,0.883875,1.08,1080,1,0.96
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.556,1572,1,0
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.339,1355,1,0
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.368,1384,1,0
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.328,1344,1,0
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.439,1455,1,0
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.217,1233,1,0
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.194,1210,1,0
Banimlact,Anc,MP5,,G,anaerobic,1.43825,1.653,1669,1,0
