ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	0.00101452	0.00800797	15568.7
1	0.00108323	0.00847934	16485.1
1	0.0026813	0.0185585	36080.5
1	0.000479415	0.00414356	8055.71
1	0.0567065	0.219447	426638
1	0.0668338	0.247656	481480
1	0.00609791	0.0371961	72314.8
1	0.00542436	0.0337225	65561.6
1	0.0618729	0.234045	455019
1	2.44439e-07	3.96586e-06	7.71023
1	1.8088e-07	2.98912e-06	5.8113
1	1	1	1944150
1	0.0482511	0.194516	378170
1	0.00988953	0.0555424	107983
1	0.00069367	0.00573909	11157.7
0.998781	0.00099212	0.00784493	15251.7
1	1	1	1944150
1	6.04092e-06	7.86343e-05	152.877
1	0.00754371	0.0444101	86340.1
1	0.00595519	0.0364665	70896.5
1	0.0325077	0.143888	279741
1	0.082463	0.288242	560386
1	1	1	1944150
0.976049	1	0.999711	1943590
0.862219	0.272069	0.574715	1117330
1	3.53126e-05	0.000397312	772.434
1	0.00388745	0.0254628	49503.5
1	2.88621e-06	3.97014e-05	77.1856
1	0.0214611	0.103904	202006
1	0.587207	0.899823	1749390
1	0.344336	0.711446	1383160
1	0.000284636	0.00260849	5071.31
1	2.37681e-06	3.31559e-05	64.4601
1	0.000266801	0.00246231	4787.1
0.588083	0.00225414	0.010109	19653.5
1	2.46079e-06	3.42419e-05	66.5715
1	0.00698613	0.0416641	81001.3
1	0.0505418	0.201407	391565
1	0.0272659	0.125481	243954
0.571081	0.252799	0.423777	823888
1	0.00189364	0.0137653	26761.9
1	0.0378185	0.161672	314316
1	0.0331082	0.14594	283730
1	6.51767e-07	9.93526e-06	19.3157
1	0.0991013	0.328185	638042
1	0.183347	0.494373	961136
0.847845	0.365287	0.672723	1307880
0.943485	0.309702	0.651697	1267000
0.990142	1	0.999951	1944060
1	1	1	1944150
0.992053	0.458333	0.81305	1580690
1	0.000119136	0.00119556	2324.34
1	0.0579185	0.222912	433375
0.968549	5.98392e-05	0.000623376	1211.94
0.749341	7.4847e-07	8.63375e-06	16.7853
1	0.0485493	0.195419	379925
1	3.92966e-06	5.2842e-05	102.733
1	2.88392e-06	3.96723e-05	77.129
1	2.444e-06	3.40251e-05	66.15
1	2.80744e-08	5.16243e-07	1.00365
0.417811	0.454545	0.505396	982566
1	0.569231	0.889975	1730250
0.816567	0.00049311	0.0035504	6902.52
0.672208	0.00049311	0.00298722	5807.61
1	0.0177265	0.0892119	173442
1	0.111115	0.355257	690673
1	0.000384405	0.00340729	6624.3
1	0.0379341	0.162051	315051
1	0.0982178	0.326139	634064
1	0.000125631	0.00125407	2438.1
1	0.0083788	0.0484467	94187.7
1	0.196137	0.515634	1002470
0.999053	0.53007	0.866211	1684050
1	0.0101693	0.05683	110486
1	1.69744e-06	2.42503e-05	47.1463
1	1.81539e-06	2.58134e-05	50.1851
1	0.0428022	0.177679	345435
1	0.0148988	0.0775702	150808
1	0.0947644	0.318063	618364
1	2.19256e-05	0.00025714	499.92
1	0.00214443	0.0153217	29787.7
1	0.106037	0.343981	668751
1	0.00736223	0.0435211	84611.5
0.666109	4.00242e-06	3.68845e-05	71.7091
0.82915	1.00855e-06	1.25388e-05	24.3774
1	0.00991694	0.0556688	108229
0.811273	0.00952381	0.0453008	88071.7
1	0.000411353	0.00361829	7034.5
