ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	0.000875926	0.00704265	13692
1	0.0325111	0.1439	279763
1	4.43685e-05	0.000489073	950.833
1	2.80181e-09	5.79778e-08	0.112718
1	0.00596633	0.0365236	71007.5
1	0.00010441	0.00106156	2063.82
1	0.000128236	0.00127744	2483.54
1	0.000704844	0.00582027	11315.5
1	1.6009e-05	0.000192786	374.805
1	0.00911341	0.0519283	100957
1	8.39398e-06	0.000106503	207.058
1	0.0676393	0.24983	485708
1	0.00865321	0.0497545	96730.2
1	0.000162356	0.00157903	3069.87
1	1.47853e-06	2.1327e-05	41.4628
1	7.64867e-06	9.77575e-05	190.055
1	0.00185768	0.0135396	26323
1	0.00261067	0.0181393	35265.5
1	1.98239e-07	3.25781e-06	6.33369
1	0.0027067	0.0187088	36372.8
1	0.00125795	0.00965889	18778.3
1	1	1	1944150
0.506479	1	0.851023	1654520
1	0.539024	0.872138	1695570
1	1	1	1944150
1	0.00490393	0.0309817	60233.1
1	0.254634	0.602955	1172240
1	1.49745e-05	0.000181329	352.531
1	0.21904	0.551653	1072500
1	0.108858	0.350274	680986
1	0.0057971	0.0356545	69317.7
1	0.0519365	0.205551	399622
1	0.000105432	0.00107092	2082.04
1	0.010559	0.0586105	113948
1	0.0645204	0.241356	469233
0.771561	0.0917339	0.258214	502007
1	0.00842809	0.0486822	94645.6
1	0.00169826	0.01253	24360.3
1	0.00172015	0.0126695	24631.4
1	0.000520786	0.00445802	8667.07
1	1	1	1944150
1	3.70137e-05	0.00041471	806.259
1	0.0125443	0.0674694	131171
0.696837	0.538462	0.743027	1444560
1	7.34637e-05	0.000772744	1502.33
1	0.0863997	0.297973	579305
1	5.70395e-05	0.000614416	1194.52
1	0.000621947	0.00521357	10136
0.927743	1	0.997324	1938950
1	0.000350642	0.00314026	6105.14
1	0.000244065	0.00227422	4421.43
1	0.0338702	0.148528	288762
1	0.0676934	0.249976	485991
1	0.185708	0.498363	968893
1	0.31381	0.677506	1317170
1	0.00778352	0.0455783	88611.2
1	3.50492e-05	0.000394611	767.184
0.944301	1	0.998419	1941080
1	0.104897	0.341416	663765
1	0.00171712	0.0126502	24593.9
1	0.00134608	0.0102444	19916.7
1	0.00101047	0.00798003	15514.4
1	7.48908e-05	0.000786314	1528.71
1	4.1955e-05	0.000464816	903.672
1	0.00154175	0.0115243	22405
1	0.000373159	0.00331869	6452.03
1	0.00209644	0.0150262	29213.3
1	0.0279495	0.127935	248724
1	8.99294e-06	0.000113483	220.627
1	3.07483e-05	0.000350213	680.868
1	3.44127e-05	0.000388075	754.477
1	4.22584e-07	6.6248e-06	12.8796
1	0.000454508	0.00395254	7684.33
1	0.0666667	0.247203	480601
1	0.131161	0.397593	772981
1	0.000464259	0.00402748	7830.02
0.955315	0.109426	0.340603	662184
1	0.0633316	0.238087	462877
1	0.0331148	0.145963	283774
1	0.0600572	0.228966	445144
1	0.000421699	0.00369882	7191.06
1	0.0114119	0.0624585	121429
1	0.000439325	0.00383543	7456.65
1	7.34091e-05	0.000772224	1501.32
1	0.174187	0.4786	930472
1	1	1	1944150
1	0.000498493	0.004289	8338.46
1	4.33557e-05	0.00047891	931.074
1	0.168127	0.467904	909677
0.998137	1	0.999998	1944150
1	6.7036e-10	1.48305e-08	0.0288328
1	0.000773805	0.00631749	12282.2
1	7.57245e-05	0.000794229	1544.1
1	0.00108547	0.00849462	16514.8
1	0.00014783	0.00145161	2822.15
0.743067	0.454545	0.704369	1369400
0.979844	0.519328	0.852637	1657660
0.969181	6.51324e-05	0.000673569	1309.52
1	0.000420318	0.00368808	7170.19
0.793022	0.00673401	0.0332828	64706.9
1	0.0382282	0.163012	316920
